Age,Occupation,Annual_Income,Credit_Score
33,3,88640.24,1
33,3,88640.24,1
33,3,88640.24,1
35,4,54392.16,60
35,4,54392.16,60
35,4,54392.16,60
35,4,54392.16,60
35,4,54392.16,60
35,4,54392.16,60
36,4,54392.16,60
36,4,54392.16,60
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
39,10,8701.545,0
36,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
37,4,25546.26,60
30,1,31993.78,60
30,1,31993.78,60
31,1,31993.78,60
30,1,31993.78,60
30,1,31993.78,60
31,1,31993.78,60
31,1,31993.78,60
31,1,31993.78,60
20,11,92047.08,60
20,11,92047.08,60
20,11,92047.08,60
20,11,92047.08,0
20,11,92047.08,0
20,11,92047.08,0
20,11,92047.08,0
20,11,92047.08,0
45,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
46,2,32284.62,60
26,12,97791.42,60
26,12,97791.42,60
26,12,97791.42,60
26,12,97791.42,1
26,12,97791.42,1
26,12,97791.42,1
26,12,97791.42,60
26,12,97791.42,1
31,4,19300.34,0
31,4,19300.34,0
31,4,19300.34,0
31,4,19300.34,60
32,4,19300.34,0
32,4,19300.34,0
32,4,19300.34,0
32,4,19300.34,60
41,12,19514.88,60
41,12,19514.88,60
41,12,19514.88,60
41,12,19514.88,0
41,12,19514.88,0
41,12,19514.88,0
41,12,19514.88,0
41,12,19514.88,0
41,7,10183.015,0
41,7,10183.015,0
41,7,10183.015,0
41,7,10183.015,60
41,7,10183.015,0
42,7,10183.015,0
42,7,10183.015,0
42,7,10183.015,0
19,4,106733.13,1
20,4,106733.13,1
20,4,106733.13,1
20,4,106733.13,1
20,4,106733.13,1
20,4,106733.13,60
20,4,106733.13,60
20,4,106733.13,60
31,6,12600.445,60
31,6,12600.445,60
31,6,12600.445,60
32,6,12600.445,0
32,6,12600.445,0
32,6,12600.445,0
32,6,12600.445,0
32,6,12600.445,0
34,13,57983.12,0
34,13,57983.12,60
34,13,57983.12,0
34,13,57983.12,0
34,13,57983.12,0
34,13,57983.12,60
34,13,57983.12,60
34,13,57983.12,0
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
48,4,20787.69,60
30,14,3420.12,0
30,14,3420.12,60
30,14,3420.12,60
30,14,3420.12,0
30,14,3420.12,0
30,14,3420.12,0
30,14,3420.12,60
30,14,3420.12,0
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
32,11,43070.24,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
40,15,28572.39,60
37,10,39641.54,0
37,10,39641.54,0
37,10,39641.54,0
37,10,39641.54,0
37,10,39641.54,60
37,10,39641.54,0
37,10,39641.54,0
38,10,39641.54,0
54,1,20186.02,1
54,1,20186.02,60
55,1,20186.02,1
55,1,20186.02,1
55,1,20186.02,60
55,1,20186.02,1
55,1,20186.02,60
55,1,20186.02,60
43,12,18627.64,0
43,12,18627.64,0
43,12,18627.64,0
43,12,18627.64,60
43,12,18627.64,0
43,12,18627.64,0
43,12,18627.64,0
44,12,18627.64,0
21,3,12986.745,60
21,3,12986.745,60
21,3,12986.745,60
21,3,12986.745,60
22,3,12986.745,60
22,3,12986.745,60
22,3,12986.745,60
22,3,12986.745,60
43,14,58317,60
43,14,58317,60
44,14,58317,60
44,14,58317,60
44,14,58317,60
44,14,58317,60
44,14,58317,60
44,14,58317,60
36,1,42171.98,60
36,1,42171.98,60
37,1,42171.98,60
37,1,42171.98,1
37,1,42171.98,1
37,1,42171.98,1
37,1,42171.98,1
37,1,42171.98,60
36,10,71681.4,60
36,10,71681.4,60
36,10,71681.4,60
36,10,71681.4,1
36,10,71681.4,1
36,10,71681.4,1
36,10,71681.4,1
36,10,71681.4,1
16,13,29469.98,60
16,13,29469.98,60
16,13,29469.98,60
16,13,29469.98,0
16,13,29469.98,0
16,13,29469.98,0
16,13,29469.98,0
16,13,29469.98,0
19,3,72559.36,60
19,3,72559.36,60
20,3,72559.36,60
20,3,72559.36,60
20,3,72559.36,60
20,3,72559.36,60
20,3,72559.36,60
20,3,72559.36,60
36,12,15566.02,0
36,12,15566.02,0
37,12,15566.02,0
37,12,15566.02,60
37,12,15566.02,0
37,12,15566.02,0
37,12,15566.02,0
37,12,15566.02,60
18,5,66567.32,60
18,5,66567.32,60
18,5,66567.32,60
18,5,66567.32,60
19,5,66567.32,60
19,5,66567.32,60
19,5,66567.32,60
19,5,66567.32,60
32,7,1209.895,60
32,7,1209.895,60
33,7,1209.895,60
33,7,1209.895,60
33,7,1209.895,60
33,7,1209.895,60
33,7,1209.895,60
33,7,1209.895,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
33,11,30788.44,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
42,15,20574.47,60
21,6,148699.32,1
21,6,148699.32,1
21,6,148699.32,1
22,6,148699.32,1
22,6,148699.32,1
22,6,148699.32,1
22,6,148699.32,1
22,6,148699.32,1
19,12,85554.03,1
19,12,85554.03,1
19,12,85554.03,1
19,12,85554.03,1
19,12,85554.03,1
19,12,85554.03,1
19,12,85554.03,1
20,12,85554.03,1
15,4,55829.79,60
15,4,55829.79,60
15,4,55829.79,60
15,4,55829.79,60
16,4,55829.79,60
16,4,55829.79,60
16,4,55829.79,0
16,4,55829.79,60
27,15,14165.23,60
27,15,14165.23,0
27,15,14165.23,0
27,15,14165.23,60
27,15,14165.23,0
27,15,14165.23,0
27,15,14165.23,0
27,15,14165.23,60
30,2,87215.68,1
30,2,87215.68,60
30,2,87215.68,1
30,2,87215.68,60
30,2,87215.68,1
30,2,87215.68,1
30,2,87215.68,1
30,2,87215.68,1
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
43,6,81842.28,60
38,8,95956.5,60
38,8,95956.5,60
38,8,95956.5,60
38,8,95956.5,1
38,8,95956.5,60
38,8,95956.5,1
38,8,95956.5,1
38,8,95956.5,1
25,10,49967.01,0
25,10,49967.01,0
26,10,49967.01,0
26,10,49967.01,0
26,10,49967.01,0
26,10,49967.01,0
26,10,49967.01,0
26,10,49967.01,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,0
14,5,39887.22,60
43,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
44,5,14129.76,0
42,5,123732.32,1
42,5,123732.32,1
43,5,123732.32,60
43,5,123732.32,60
43,5,123732.32,60
43,5,123732.32,60
43,5,123732.32,60
43,5,123732.32,60
36,14,17251.38,60
36,14,17251.38,60
37,14,17251.38,60
37,14,17251.38,60
37,14,17251.38,60
37,14,17251.38,60
37,14,17251.38,60
37,14,17251.38,60
22,4,36822.29,60
22,4,36822.29,60
23,4,36822.29,60
23,4,36822.29,1
23,4,36822.29,1
23,4,36822.29,1
23,4,36822.29,1
23,4,36822.29,1
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
25,8,80108.31,60
20,1,69977.6,60
20,1,69977.6,0
20,1,69977.6,60
20,1,69977.6,0
20,1,69977.6,0
21,1,69977.6,0
21,1,69977.6,60
21,1,69977.6,60
16,12,78988.48,0
16,12,78988.48,0
16,12,78988.48,0
16,12,78988.48,60
16,12,78988.48,0
16,12,78988.48,0
16,12,78988.48,0
16,12,78988.48,0
45,9,41746.76,0
45,9,41746.76,60
45,9,41746.76,60
45,9,41746.76,0
45,9,41746.76,60
46,9,41746.76,0
46,9,41746.76,0
46,9,41746.76,0
21,7,19981.6,60
21,7,19981.6,0
22,7,19981.6,0
22,7,19981.6,0
22,7,19981.6,0
22,7,19981.6,60
22,7,19981.6,0
22,7,19981.6,0
18,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
19,6,73737.36,60
33,12,88362.46,1
33,12,88362.46,1
33,12,88362.46,60
34,12,88362.46,1
34,12,88362.46,1
34,12,88362.46,1
34,12,88362.46,1
34,12,88362.46,1
45,4,118248.6,1
45,4,118248.6,60
45,4,118248.6,1
45,4,118248.6,1
45,4,118248.6,60
45,4,118248.6,1
45,4,118248.6,1
45,4,118248.6,1
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
26,1,60162.1,60
17,12,75273.24,60
17,12,75273.24,0
17,12,75273.24,60
18,12,75273.24,0
18,12,75273.24,60
18,12,75273.24,0
18,12,75273.24,0
18,12,75273.24,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
18,7,54820.89,60
42,4,58674.66,0
42,4,58674.66,0
42,4,58674.66,0
42,4,58674.66,60
42,4,58674.66,60
42,4,58674.66,60
42,4,58674.66,0
42,4,58674.66,0
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
30,15,3030.44,60
42,8,45207.54,0
42,8,45207.54,0
42,8,45207.54,0
42,8,45207.54,0
43,8,45207.54,0
43,8,45207.54,0
43,8,45207.54,0
43,8,45207.54,0
18,1,144546.72,60
18,1,144546.72,60
18,1,144546.72,60
18,1,144546.72,60
18,1,144546.72,1
18,1,144546.72,1
18,1,144546.72,1
18,1,144546.72,1
38,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
39,3,30346.35,60
46,13,18681.465,60
47,13,18681.465,1
46,13,18681.465,1
46,13,18681.465,60
47,13,18681.465,1
47,13,18681.465,1
47,13,18681.465,1
47,13,18681.465,1
41,1,9841.34,60
41,1,9841.34,60
41,1,9841.34,60
42,1,9841.34,60
42,1,9841.34,60
42,1,9841.34,60
42,1,9841.34,60
42,1,9841.34,60
35,7,72330.98,1
35,7,72330.98,1
35,7,72330.98,1
35,7,72330.98,1
35,7,72330.98,1
35,7,72330.98,1
35,7,72330.98,60
35,7,72330.98,1
16,2,43241.49,60
15,2,43241.49,0
15,2,43241.49,60
16,2,43241.49,0
16,2,43241.49,0
16,2,43241.49,0
16,2,43241.49,60
16,2,43241.49,60
19,13,34106.78,60
19,13,34106.78,60
19,13,34106.78,60
19,13,34106.78,60
19,13,34106.78,60
19,13,34106.78,60
19,13,34106.78,1
19,13,34106.78,1
24,2,12067.59,1
24,2,12067.59,60
24,2,12067.59,1
25,2,12067.59,1
25,2,12067.59,1
25,2,12067.59,1
25,2,12067.59,1
25,2,12067.59,1
34,15,17001.34,60
34,15,17001.34,60
34,15,17001.34,60
34,15,17001.34,0
34,15,17001.34,0
34,15,17001.34,60
34,15,17001.34,60
34,15,17001.34,60
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
21,11,44719.17,0
47,11,17787.34,60
47,11,17787.34,60
47,11,17787.34,60
47,11,17787.34,60
47,11,17787.34,60
47,11,17787.34,60
47,11,17787.34,60
48,11,17787.34,60
42,2,103353.06,1
42,2,103353.06,1
41,2,103353.06,60
42,2,103353.06,1
42,2,103353.06,1
42,2,103353.06,1
42,2,103353.06,1
42,2,103353.06,1
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
38,9,31021.24,60
36,9,134978.24,60
36,9,134978.24,60
36,9,134978.24,60
36,9,134978.24,1
36,9,134978.24,1
36,9,134978.24,1
37,9,134978.24,1
37,9,134978.24,1
28,14,39800.12,60
28,14,39800.12,60
28,14,39800.12,60
28,14,39800.12,1
28,14,39800.12,60
28,14,39800.12,60
28,14,39800.12,60
28,14,39800.12,60
17,10,14841.35,60
17,10,14841.35,60
17,10,14841.35,60
17,10,14841.35,60
17,10,14841.35,60
17,10,14841.35,60
17,10,14841.35,1
17,10,14841.35,1
21,15,66105.4,60
21,15,66105.4,0
21,15,66105.4,0
21,15,66105.4,0
21,15,66105.4,0
21,15,66105.4,60
22,15,66105.4,0
22,15,66105.4,0
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
28,13,15398.95,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
18,5,27070.07,60
53,3,17992.775,0
53,3,17992.775,0
53,3,17992.775,0
53,3,17992.775,0
53,3,17992.775,60
53,3,17992.775,0
53,3,17992.775,0
53,3,17992.775,0
55,12,139354.48,60
55,12,139354.48,60
55,12,139354.48,60
55,12,139354.48,1
55,12,139354.48,1
55,12,139354.48,1
56,12,139354.48,60
56,12,139354.48,60
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
22,2,18305.25,1
25,9,27865.26,60
25,9,27865.26,60
25,9,27865.26,60
25,9,27865.26,60
25,9,27865.26,60
26,9,27865.26,60
26,9,27865.26,0
26,9,27865.26,0
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
36,15,23404.86,60
33,12,14205.09,0
33,12,14205.09,0
33,12,14205.09,0
33,12,14205.09,60
33,12,14205.09,60
33,12,14205.09,60
34,12,14205.09,60
34,12,14205.09,0
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
28,1,62320.56,60
25,10,43758.34,1
25,10,43758.34,1
25,10,43758.34,1
25,10,43758.34,1
25,10,43758.34,1
25,10,43758.34,1
25,10,43758.34,60
25,10,43758.34,1
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
20,14,144881.68,60
38,7,108147.3,60
38,7,108147.3,60
38,7,108147.3,60
38,7,108147.3,60
38,7,108147.3,60
38,7,108147.3,60
38,7,108147.3,1
38,7,108147.3,1
27,6,17759.1,60
27,6,17759.1,0
27,6,17759.1,0
27,6,17759.1,0
27,6,17759.1,60
27,6,17759.1,0
28,6,17759.1,0
28,6,17759.1,0
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
37,2,85328.73,1
26,14,134321.44,60
26,14,134321.44,60
26,14,134321.44,60
27,14,134321.44,60
27,14,134321.44,1
27,14,134321.44,1
27,14,134321.44,1
27,14,134321.44,60
24,6,61008,0
24,6,61008,0
24,6,61008,0
24,6,61008,0
24,6,61008,60
24,6,61008,0
24,6,61008,0
24,6,61008,0
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
19,5,28665.76,60
18,6,56803.71,60
18,6,56803.71,60
18,6,56803.71,60
18,6,56803.71,60
19,6,56803.71,60
19,6,56803.71,60
19,6,56803.71,0
19,6,56803.71,0
31,15,38364.82,0
31,15,38364.82,0
32,15,38364.82,0
32,15,38364.82,0
32,15,38364.82,0
32,15,38364.82,0
32,15,38364.82,0
32,15,38364.82,0
21,6,66528.24,60
21,6,66528.24,60
21,6,66528.24,60
21,6,66528.24,60
21,6,66528.24,60
21,6,66528.24,60
21,6,66528.24,60
22,6,66528.24,60
55,8,19403.405,60
55,8,19403.405,60
55,8,19403.405,60
55,8,19403.405,60
55,8,19403.405,60
55,8,19403.405,60
55,8,19403.405,0
55,8,19403.405,0
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,9,31122.79,60
19,15,1115.4,0
19,15,1115.4,0
19,15,1115.4,0
19,15,1115.4,0
19,15,1115.4,0
20,15,1115.4,0
20,15,1115.4,0
20,15,1115.4,60
34,3,19777.05,0
34,3,19777.05,0
34,3,19777.05,60
34,3,19777.05,0
34,3,19777.05,0
34,3,19777.05,0
34,3,19777.05,0
34,3,19777.05,0
24,12,20188.02,60
24,12,20188.02,60
24,12,20188.02,1
24,12,20188.02,1
24,12,20188.02,60
25,12,20188.02,1
25,12,20188.02,1
25,12,20188.02,1
54,1,41345.58,60
54,1,41345.58,60
54,1,41345.58,60
54,1,41345.58,0
54,1,41345.58,0
54,1,41345.58,0
54,1,41345.58,0
54,1,41345.58,0
31,3,55151.04,0
31,3,55151.04,0
32,3,55151.04,0
32,3,55151.04,0
32,3,55151.04,0
32,3,55151.04,0
32,3,55151.04,0
32,3,55151.04,60
39,10,30536.62,60
39,10,30536.62,60
39,10,30536.62,60
39,10,30536.62,60
39,10,30536.62,0
39,10,30536.62,0
39,10,30536.62,0
39,10,30536.62,60
29,15,147499.6,60
29,15,147499.6,1
29,15,147499.6,1
29,15,147499.6,60
29,15,147499.6,1
29,15,147499.6,1
29,15,147499.6,1
29,15,147499.6,1
42,15,20005.22,60
42,15,20005.22,60
42,15,20005.22,60
42,15,20005.22,60
42,15,20005.22,60
43,15,20005.22,60
43,15,20005.22,0
43,15,20005.22,0
32,1,19795.52,60
32,1,19795.52,0
32,1,19795.52,0
32,1,19795.52,0
32,1,19795.52,0
33,1,19795.52,0
33,1,19795.52,0
33,1,19795.52,0
33,8,60938.13,0
33,8,60938.13,0
33,8,60938.13,60
33,8,60938.13,0
34,8,60938.13,0
34,8,60938.13,0
34,8,60938.13,0
34,8,60938.13,0
54,10,80396.86,1
54,10,80396.86,1
54,10,80396.86,60
54,10,80396.86,60
54,10,80396.86,60
54,10,80396.86,60
54,10,80396.86,60
54,10,80396.86,60
42,14,57610.32,0
42,14,57610.32,0
42,14,57610.32,60
42,14,57610.32,0
42,14,57610.32,0
42,14,57610.32,0
42,14,57610.32,0
43,14,57610.32,0
36,9,18717.02,0
36,9,18717.02,0
36,9,18717.02,0
36,9,18717.02,60
36,9,18717.02,60
36,9,18717.02,60
37,9,18717.02,0
37,9,18717.02,60
17,9,19163.22,60
17,9,19163.22,60
17,9,19163.22,60
17,9,19163.22,1
17,9,19163.22,1
17,9,19163.22,1
17,9,19163.22,60
17,9,19163.22,60
48,7,94554.87,1
48,7,94554.87,1
48,7,94554.87,1
48,7,94554.87,1
48,7,94554.87,1
48,7,94554.87,1
48,7,94554.87,60
48,7,94554.87,1
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
27,12,63536.98,60
39,15,9983.345,0
39,15,9983.345,0
39,15,9983.345,60
39,15,9983.345,60
40,15,9983.345,60
40,15,9983.345,60
40,15,9983.345,60
40,15,9983.345,60
14,11,27796.42,60
14,11,27796.42,60
14,11,27796.42,60
15,11,27796.42,60
15,11,27796.42,60
15,11,27796.42,60
15,11,27796.42,60
15,11,27796.42,60
29,3,132872.72,1
30,3,132872.72,1
30,3,132872.72,1
30,3,132872.72,1
30,3,132872.72,60
30,3,132872.72,1
30,3,132872.72,1
30,3,132872.72,1
41,15,140014.36,60
41,15,140014.36,60
41,15,140014.36,60
41,15,140014.36,60
41,15,140014.36,60
42,15,140014.36,60
42,15,140014.36,60
42,15,140014.36,60
47,11,37071.2,1
47,11,37071.2,1
47,11,37071.2,60
48,11,37071.2,1
48,11,37071.2,1
48,11,37071.2,1
48,11,37071.2,1
48,11,37071.2,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
20,4,41735.55,60
38,15,40391.66,0
38,15,40391.66,0
38,15,40391.66,0
38,15,40391.66,0
38,15,40391.66,0
38,15,40391.66,0
38,15,40391.66,60
38,15,40391.66,0
18,14,7441.295,0
18,14,7441.295,0
18,14,7441.295,0
19,14,7441.295,60
19,14,7441.295,0
19,14,7441.295,0
19,14,7441.295,0
19,14,7441.295,0
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
40,1,1065.32,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
46,4,24585.55,60
26,10,1113.73,60
26,10,1113.73,60
26,10,1113.73,60
27,10,1113.73,60
27,10,1113.73,60
27,10,1113.73,60
27,10,1113.73,60
27,10,1113.73,60
43,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
44,9,126006.68,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
49,5,102885.32,60
38,2,34212.01,60
38,2,34212.01,60
38,2,34212.01,60
38,2,34212.01,60
38,2,34212.01,60
38,2,34212.01,60
38,2,34212.01,0
38,2,34212.01,0
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,4,118487.16,60
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
26,13,77418.52,0
45,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
46,15,24199.24,1
47,12,28587.29,1
47,12,28587.29,1
47,12,28587.29,1
47,12,28587.29,1
47,12,28587.29,1
47,12,28587.29,1
47,12,28587.29,1
48,12,28587.29,1
31,10,16578.115,60
31,10,16578.115,60
32,10,16578.115,60
32,10,16578.115,60
32,10,16578.115,60
32,10,16578.115,60
32,10,16578.115,60
32,10,16578.115,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
20,14,74647.4,60
43,13,34766.06,1
43,13,34766.06,1
43,13,34766.06,1
43,13,34766.06,1
43,13,34766.06,1
43,13,34766.06,1
43,13,34766.06,60
43,13,34766.06,1
22,3,16852.635,60
22,3,16852.635,60
22,3,16852.635,60
22,3,16852.635,1
23,3,16852.635,60
23,3,16852.635,1
23,3,16852.635,60
23,3,16852.635,1
20,1,3312.1,0
20,1,3312.1,60
20,1,3312.1,0
20,1,3312.1,0
20,1,3312.1,0
20,1,3312.1,0
20,1,3312.1,0
20,1,3312.1,0
27,7,9160.53,60
27,7,9160.53,1
27,7,9160.53,1
27,7,9160.53,1
27,7,9160.53,1
27,7,9160.53,60
27,7,9160.53,1
27,7,9160.53,1
36,4,3012.54,0
36,4,3012.54,0
37,4,3012.54,0
37,4,3012.54,60
37,4,3012.54,0
37,4,3012.54,0
37,4,3012.54,0
37,4,3012.54,0
20,7,30272.61,60
20,7,30272.61,60
20,7,30272.61,60
20,7,30272.61,60
20,7,30272.61,60
21,7,30272.61,60
21,7,30272.61,60
21,7,30272.61,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
31,11,59971.42,60
32,11,42220.39,60
32,11,42220.39,60
32,11,42220.39,60
32,11,42220.39,60
32,11,42220.39,60
32,11,42220.39,60
32,11,42220.39,60
33,11,42220.39,60
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,1
51,15,43581.13,60
49,7,28681.38,1
1,7,28681.38,1
1,7,28681.38,1
1,7,28681.38,60
1,7,28681.38,1
1,7,28681.38,1
1,7,28681.38,1
1,7,28681.38,1
33,8,35376.32,60
33,8,35376.32,60
33,8,35376.32,60
33,8,35376.32,60
33,8,35376.32,60
34,8,35376.32,60
34,8,35376.32,60
34,8,35376.32,60
48,8,15488.885,60
48,8,15488.885,1
48,8,15488.885,1
48,8,15488.885,60
49,8,15488.885,60
49,8,15488.885,60
49,8,15488.885,1
49,8,15488.885,1
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
26,4,19853.35,60
32,14,115643.01,0
32,14,115643.01,60
32,14,115643.01,0
33,14,115643.01,0
33,14,115643.01,60
33,14,115643.01,0
33,14,115643.01,0
